name,category,latitude,longitude,distance_from_center_km
Le Bistrot Saint-Paul,amenity,48.8543661,2.3625621,0.21757808425781036
Aux Comptoirs du Chineur,shop,48.8544188,2.3624082,0.22623057292736345
Le Cygne rose,shop,48.8543687,2.3623716,0.23059088637680886
Les Trois Chocolats,shop,48.8543299,2.362326,0.23521103588130937
Cru,amenity,48.8538565,2.3611419,0.33553796234498356
Shinjuku Sushi,amenity,48.8539037,2.3621825,0.2647281764928898
Charlene Ramon,shop,48.8540413,2.3620658,0.26531464973234736
Les Neiges d'Antan,shop,48.853916,2.3619854,0.2768081649261147
MAÏWAX,shop,48.8529749,2.3607105,0.41113203329241715
En fil d'indienne,shop,48.8528965,2.3609513,0.40185557221566204
La Boutique des Inventions,shop,48.8532586,2.360913,0.3814412260658386
Le Chef d'Œuvre Inconnu,shop,48.8532843,2.3608447,0.38422937522951506
Vénus sur Cour,shop,48.8533024,2.3607907,0.38660561115048764
Royal Bar,amenity,48.8588137,2.3623681,0.47012650313969373
,amenity,48.8586333,2.3628467,0.436644234976072
,amenity,48.8594887,2.3600619,0.6256678528388352
Galerie de Thorigny,tourism,48.8590254,2.3619116,0.5068415602460322
Miznon,amenity,48.8571533,2.3589476,0.5228183401092451
Maison des Initiatives Étudiantes,amenity,48.8562529,2.3674838,0.20589187342452672
La Marguerite,amenity,48.8512432,2.3697901,0.5364339648705088
Cuvée noire,amenity,48.8534858,2.3706386,0.4272756055552779
Amorino,amenity,48.8535278,2.3706741,0.4277630916350357
Maison Hilaire,shop,48.853319,2.366982,0.22891093955300293
The Kooples,shop,48.853338,2.36687,0.22284512813554164
Comme Ça,shop,48.853445,2.366146,0.18987403823352458
Le Rempart,amenity,48.85338,2.366559,0.20797405220127327
Nicolas,shop,48.853455,2.366003,0.18576215266705945
Saint-Paul,amenity,48.8553324,2.3603493,0.3667856850056236
Académie Inter Musicale de Paris,amenity,48.8553259,2.3692636,0.29003061131865465
,amenity,48.8506007,2.3684957,0.548146403669007
,amenity,48.8514306,2.3619375,0.4747860318052571
,amenity,48.8557582,2.3657463,0.08283982118791029
,amenity,48.8558026,2.3654657,0.08256359712320815
,amenity,48.8582183,2.3633569,0.3793639025757624
,shop,48.8557509,2.3594648,0.43718453966627213
,amenity,48.8536817,2.3714996,0.4781170079803566
Chantier Interdit,amenity,48.8542603,2.3716689,0.47363740263691734
